comm,Census_Poll_Location,community_orignial,male,female,total,African,Caucasian,Chinese,East Indian,Indigenous,Mixed_African_ East_Indian,Mixed _Other,Portuguese,Syrian_Lebanese,other_ethnic_ group,not_stated_ethncity,unknown_ethnicity ,ANGLICAN,BAPTIST _SPIRITUAL_SHOUTER _BAPTIST,BAPTIST ,HINDUISM,ISLAM,JEHOVAHS_WITNESS,METHODIST,PENTECOSTAL_EVANGELICAL_FULL GOSPEL,MORAVIAN,ORISHA,PRESBYTERIAN_CONGREGATIONAL,RASTAFARIAN,ROMAN_CATHOLIC,SEVEN_DAY_ADVENTIST,OTHER_RELIGION,NONE_RELIGION,NOT STATED_RELIGION,UNKNOWN _RELIGION
2012,BROADWAY,2012 BROADWAY,171.891152,182.13632,354.027472,152.539168,0,2.276704,100.174976,0,43.257376,53.502544,1.138352,0,0,1.138352,354.027472,33.012208,20.490336,0,48.949136,18.213632,9.106816,0,20.490336,0,22.76704,17.07528,0,85.3764,18.213632,22.76704,28.4588,9.106816,354.027472
6401,BROOKLYN SETTLEMENT,6401 BROOKLYN SETTLEMENT,149.122278,130.90887,280.031148,97.897068,0,0,125.21718,0,45.53352,2.276676,0,0,0,9.106704,280.031148,10.245042,9.106704,0,54.640224,5.69169,6.830028,0,55.778562,0,0,23.905098,3.415014,58.055238,22.76676,13.660056,10.245042,5.69169,280.031148
7504,BROOMAGE,7504 BROOMAGE,636.333737,622.673621,1259.007358,177.581508,0,2.276686,908.397714,0,34.15029,52.363778,0,0,0,84.237382,1259.007358,43.257034,38.703662,62.608865,397.281707,285.724093,1.138343,0,130.909445,0,0,36.426976,0,52.363778,4.553372,48.948749,0,157.091334,1259.007358
5203,BROTHERS ROAD,5203 BROTHERS ROAD,679.591965,643.164925,1322.75689,274.341145,0,0,826.43847,0,132.04802,75.13077,0,0,0,14.798485,1322.75689,56.91725,20.49021,10.245105,450.78462,58.055595,15.93683,0,174.166785,0,0,73.992425,1.138345,177.58182,153.676575,31.87366,42.118765,55.778905,1322.75689
7505,BROTHERS SETTLEMENT,7505 BROTHERS SETTLEMENT,208.316769,167.336421,375.65319,13.660116,0,1.138343,356.301359,0,2.276686,0,0,0,0,2.276686,375.65319,0,1.138343,0,290.277465,5.691715,1.138343,0,39.842005,0,0,20.490174,0,1.138343,6.830058,0,0,9.106744,375.65319
4404,BUCCARRO,4404 BUCCARRO,1172.49535,1205.507355,2378.002705,438.262825,6.83007,9.10676,1458.219945,2.27669,143.43147,241.32914,0,0,3.415035,75.13077,2378.002705,78.545805,84.23753,9.10676,817.33171,196.933685,43.25711,1.138345,410.942545,0,17.075175,56.91725,0,401.835785,30.735315,47.81049,25.04359,157.09161,2378.002705
9404,BUCCOO POINT,9404 BUCCOO / CORAL GARDENS,442.10317,474.17283,916.276,790.28805,2.29069,0,20.61621,0,48.10449,22.9069,0,0,4.58138,27.48828,916.276,84.75553,76.738115,17.180175,6.87207,4.58138,13.74414,17.180175,155.76692,174.09244,0,0,3.436035,51.540525,96.20898,10.308105,117.970535,85.900875,916.276
7506,BUEN INTENTO,7506 BUEN INTENTO,448.507142,462.167258,910.6744,132.047788,0,0,626.08865,0,60.332179,66.023894,0,0,1.138343,25.043546,910.6744,15.936802,21.628517,78.545667,410.941823,54.640464,11.38343,0,146.846247,0,0,52.363778,3.415029,43.257034,7.968401,29.596918,1.138343,33.011947,910.6744
4204,BUTLER VILLAGE,4204 BUTLER VILLAGE,461.029725,422.325995,883.35572,338.088465,0,1.138345,409.8042,0,86.51422,29.59697,0,0,0,18.21352,883.35572,69.439045,80.822495,0,208.317135,93.34429,1.138345,63.74732,212.870515,0,0,35.288695,1.138345,45.5338,18.21352,12.521795,14.798485,26.181935,883.35572
6402,CAIGUAL,6402 CAIGUAL,307.35126,285.722838,593.074098,127.493856,1.138338,0,375.65154,0,37.565154,39.84183,0,0,0,11.38338,593.074098,7.968366,18.213408,1.138338,193.51746,17.07507,9.106704,0,114.972138,0,6.830028,33.011802,0,101.312082,27.320112,7.968366,9.106704,45.53352,593.074098
4105,CALCUTTA,4105 CALCUTTA ROAD NO.2,906.12262,876.52565,1782.64827,237.914105,6.83007,4.55338,1369.429035,0,91.0676,66.02401,0,0,0,6.83007,1782.64827,68.3007,29.59697,0,639.74989,259.54266,0,19.351865,147.98485,0,9.10676,243.60583,5.691725,137.739745,0,109.28112,14.798485,97.89767,1782.64827
4406,CALCUTTA SETTLEMENT NO.2,4406 CALCUTTA SETTLEMENT NO.2,306.214805,331.258395,637.4732,72.85408,0,1.138345,488.350005,0,22.7669,39.842075,0,0,0,12.521795,637.4732,17.075175,1.138345,0,264.09604,45.5338,9.10676,0,110.419465,0,0,0,1.138345,53.502215,1.138345,15.93683,4.55338,113.8345,637.4732
9304,CALDER HALL / FRIENDSFIELD,9304 CALDER HALL / FRIENDSFIELD,278.318835,320.6966,599.015435,528.004045,0,1.145345,8.017415,0,34.36035,19.470865,0,0,0,8.017415,599.015435,79.028805,36.65104,0,0,0,12.598795,34.36035,77.88346,10.308105,2.29069,0,2.29069,40.087075,106.517085,84.75553,48.10449,64.13932,599.015435
4405,CALIFORNIA,4405 CALIFORNIA,1492.370295,1519.690575,3012.06087,887.9091,1.138345,20.49021,1454.80491,0,311.90653,280.03287,0,0,4.55338,51.225525,3012.06087,216.28555,266.37273,26.181935,713.742315,376.792195,48.948835,22.7669,646.57996,5.691725,10.245105,116.11119,5.691725,270.92611,19.351865,85.375875,40.98042,140.016435,3012.06087
3008,CALVARY HILL,3008 CALVARY HILL,692.107072,637.46704,1329.574112,202.623452,0,0,29.596684,14.798342,108.14173,837.813824,0,0,2.276668,134.323412,1329.574112,5.69167,27.320016,0,7.968338,38.703356,6.830004,3.415002,216.28346,0,1.138334,0,0,751.30044,71.715042,39.84169,33.011686,126.355074,1329.574112
9702,CAMBLETON / CHARLOTTEVILLE,9702 CAMBLETON / CHARLOTTEVILLE,109,79,188,157,3,0,0,0,3,22,0,0,0,3,188,16,6,0,1,0,0,26,50,0,0,0,2,6,59,1,18,3,188
3140,CAMERON ROAD,3140 CAMERON ROAD,535.02309,492.904251,1027.927341,487.212516,6.830082,5.691735,39.842145,0,215.147583,242.467911,0,0,0,30.735369,1027.927341,36.427104,53.502309,1.138347,1.138347,17.075205,36.427104,4.553388,68.30082,1.138347,42.118839,0,12.521817,652.272831,36.427104,7.968429,2.276694,54.640656,1027.927341
9405,CANAAN,9405 CANAAN,999.886185,1099.5312,2099.417385,1752.37785,14.889485,1.145345,72.156735,0,112.24381,89.33691,0,1.145345,4.58138,51.540525,2099.417385,258.84797,202.726065,2.29069,18.32552,19.470865,18.32552,50.39518,554.34698,127.133295,0,0,3.436035,84.75553,350.47557,154.621575,114.5345,139.73209,2099.417385
7203,CANAAN VILLAGE / PALMISTE,7203 CANAAN VILLAGE / PALMISTE,514.531488,512.2548,1026.786288,133.186248,40.980384,12.521784,486.072888,0,33.011976,209.455296,6.830064,2.276688,4.553376,97.897584,1026.786288,37.565352,11.38344,3.415032,184.411728,44.395416,11.38344,3.415032,169.613256,0,0,111.557712,1.138344,260.680776,6.830064,21.628536,2.276688,157.091472,1026.786288
3310,CANE FARM,3310 CANE FARM,615.843563,677.314085,1293.157648,0,0,0,0,0,0,0,0,0,0,1293.157648,1293.157648,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1293.157648,1293.157648
5204,CANQUE,5204 CANQUE,177.579012,155.950799,333.529811,33.011483,0,6.829962,225.388746,0,11.38327,46.671407,0,0,0,10.244943,333.529811,0,0,0,120.662662,39.841445,4.553308,0,9.106616,0,0,26.181521,0,53.501369,2.276654,30.734829,1.138327,45.53308,333.529811
3220,CANTARO VILLAGE,3220 CANTARO VILLAGE,2201.555362,2206.108734,4407.664096,1982.993506,7.968401,4.553372,254.988832,18.213488,861.725651,1089.394251,1.138343,2.276686,1.138343,183.273223,4407.664096,166.198078,272.063977,23.905203,60.332179,78.545667,68.30058,12.521773,719.432776,6.830058,102.45087,23.905203,25.043546,2088.859405,215.146827,142.292875,95.620812,306.214267,4407.664096
9806,CAP-DE-VILLE,9806 CAP- DE- VILLE,2461.087809,2445.151028,4906.238837,2123.000676,1.138335,2.276684,1293.153656,4.553368,557.785368,607.873452,0,0,27.320054,289.137244,4906.238837,249.295981,487.208892,47.810315,530.466371,143.430798,59.193637,13.660055,996.046107,0,0,73.992139,21.62847,990.354551,323.288092,412.078635,89.928675,467.856119,4906.238837
9945,CAPARO,9945 CAPARO,1507.16878,1471.880085,2979.048865,448.50793,0,3.415035,1904.451185,1.138345,243.60583,364.2704,0,0,0,13.66014,2979.048865,37.565385,75.13077,5.691725,1062.075885,71.715735,25.04359,2.27669,496.31842,0,56.91725,4.55338,1.138345,598.76947,78.545805,137.739745,28.458625,297.108045,2979.048865
8203,CARAPAL,8203 CARAPAL,220.838348,193.51814,414.356488,40.980312,0,0,39.84197,2.276684,10.245078,315.320734,0,0,1.138342,4.553368,414.356488,2.276684,35.288602,2.276684,12.521762,6.830052,5.69171,0,31.873576,0,0,2.276684,1.138342,211.731612,63.747152,5.69171,21.628498,11.38342,414.356488
9906,CARAPICHAIMA,9906 CARAPICHAIMA,2273.274965,2191.314125,4464.58909,706.912245,4.55338,6.83007,3054.179635,0,268.64942,216.28555,0,2.27669,13.66014,191.24196,4464.58909,146.846505,167.336715,4.55338,1490.093605,456.476345,42.118765,5.691725,726.26411,0,11.38345,91.0676,4.55338,350.61026,30.735315,204.9021,22.7669,709.188935,4464.58909
